Sweet,Sour,Salty,Bitter,Umami,Spicy,Crunchy,Colour
,,,,Pacific Sanddab,,,
,,,,Sardine,,,
,,,,Sea Bass,,,
,,,,Shad,,,
,,,,Shark,,,
,,,,Skate,,,
,,,,Smelt,,,
,,,,Snakehead,,,
,,,,Snapper,,,
,,,,Sole,,,
,,,,Sprat,,,
,,,,Sturgeon,,,
,,,,Surimi,,,
,,,,Swordfish,,,
,,,,Tilapia,,,
,,,,Tilefish,,,
,,,,Trout,,,
,,,,Tuna,,,
,,,,Turbot,,,
,,,,Wahoo,,,
,,,,Whitefish,,,
,,,,Whiting,,,
,,,,Witch,,,
,,,,Caviar,,,
,,,,Ikura,,,
,,,,Kazunoko,,,
,,,,Lumpfish Roe,,,
,,,,Masago,,,
,,,,Shad Roe,,,
,,,,Tobiko,,,
,,,,Crabs,,,
,,,,Cray Fish,,,
,,,,Lobsters,,,
,,,,Shrimp,,,
,,,,Cockle,,,
,,,,Cuttlefish,,,
,,,,Clam,,,
,,,,Loco,,,
,,,,Mussel,,,
,,,,Octopus,,,
,,,,Oyster,,,
,,,,Periwinkle,,,
,,,,Scallop,,,
,,,,Squid,,,
,,,,Conch,,,
,,,,Nautilus,,,
,,,,Sea Cucumber,,,
,,,,Uni,,,
,,,,Alaria,,,
,,,,Alaria Esculenta,,,
,,,,Arame,,,
,,,,Ascophyllum,,,
,,,,Asparagopsis Taxiformis,,,
,,,,Callophyllis Variegata,,,
,,,,Caulerpa,,,
,,,,Caulerpa Lentillifera,,,
,,,,Cladosiphon Okamuranus,,,
,,,,Durvillaea Amatheiae,,,
,,,,Durvillaea Antarctica,,,
,,,,Durvillaea Chathamensis,,,
,,,,Durvillaea Fenestrata,,,
,,,,Durvillaea Incurvata,,,
,,,,Durvillaea Poha,,,
,,,,Durvillaea Potatorum,,,
,,,,Ecklonia Cava,,,
,,,,Ecklonia Stolonifera,,,
,,,,Fucus Vesiculosus,,,
,,,,Gamet,,,
,,,,Gim,,,
,,,,Gracilaria,,,
,,,,Green Laver,,,
,,,,Hijiki,,,
,,,,Kaipen,,,
,,,,Kelp,,,
,,,,Kombu,,,
,,,,Laminaria Digitata,,,
,,,,Laverbread,,,
,,,,Limu,,,
,,,,Meristotheca Papulosa,,,
,,,,Monostroma Kuroshiense,,,
,,,,Nori,,,
,,,,Osmundea Pinnatifida,,,
,,,,Palmaria Palmata,,,
,,,,Pepper-Dulse,,,
,,,,Porphyra,,,
,,,,Porphyra Haitanensis,,,
,,,,Postelsia,,,
,,,,Postelsia Palmaeformis,,,
,,,,Pyropia,,,
,,,,Pyropia Columbina,,,
,,,,Pyropia Tenera,,,
,,,,Saccharina Japonica,,,
,,,,Sea Lettuce,,,
,,,,Ulva Intestinalis,,,
,,,,Ulva Lactuca,,,
,,,,Ulva Linza,,,
,,,,Ulva Paschima,,,
,,,,Wakame,,,
,,,,Seaweed,,,
,,,,Wrack,,,
,,,,Chestnut,,,
,,,,Malabar chestnut,,,
,,,,Peanut,,,
,,,,Peanut Tree nut,,,
,,,,Pistachio,,,
,,,,Pumpkin seeds,,,
,,,,Sunflower seeds,,,
